,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs
40,Star Trek: The Original Series - Season 2 - 11,Friday's Child,1 Dec. 1967,The Federation clashes with the Klingon Empire over mining rights to Capella IV. A sudden coup between its warrior-minded inhabitants forces Kirk's party to flee with the now dead leader's pregnant wife.,https://www.imdb.com/title/tt0708431,6.9,1959
41,Star Trek: The Original Series - Season 2 - 12,The Deadly Years,8 Dec. 1967,A landing party from the Enterprise is exposed to strange form of radiation which rapidly ages them.,https://www.imdb.com/title/tt0708459,7.4,1966
42,Star Trek: The Original Series - Season 2 - 13,Obsession,15 Dec. 1967,Capt. Kirk obsessively hunts for a mysterious cloud creature he encountered in his youth.,https://www.imdb.com/title/tt0708440,7.4,1882
43,Star Trek: The Original Series - Season 2 - 14,Wolf in the Fold,22 Dec. 1967,Kirk and the Enterprise Computer become detectives after Scotty is accused of murdering women on a pleasure planet.,https://www.imdb.com/title/tt0708491,7.4,1977
44,Star Trek: The Original Series - Season 2 - 15,The Trouble with Tribbles,29 Dec. 1967,"To protect a space station with a vital grain shipment, Kirk must deal with Federation bureaucrats, a Klingon battle cruiser and a peddler who sells furry, purring, hungry little creatures as pets.",https://www.imdb.com/title/tt0708480,8.9,2910
45,Star Trek: The Original Series - Season 2 - 16,The Gamesters of Triskelion,5 Jan. 1968,"Kirk, Uhura and Chekov are trapped on a planet where abducted aliens are enslaved and trained to perform as gladiators for the amusement of bored, faceless aliens.",https://www.imdb.com/title/tt0708466,7.1,2017
46,Star Trek: The Original Series - Season 2 - 17,A Piece of the Action,12 Jan. 1968,The crew of the Enterprise struggles to cope with a planet of imitative people who have modeled their society on 1920s gangsters.,https://www.imdb.com/title/tt0708412,7.9,2207
47,Star Trek: The Original Series - Season 2 - 18,The Immunity Syndrome,19 Jan. 1968,The Enterprise encounters a gigantic energy draining space organism that threatens the galaxy.,https://www.imdb.com/title/tt0708467,7.6,1881
48,Star Trek: The Original Series - Season 2 - 19,A Private Little War,2 Feb. 1968,"Peaceful, primitive peoples get caught up in the struggle between superpowers, with Kirk unhappily trying to restore the balance of power disrupted by the Klingons.",https://www.imdb.com/title/tt0708413,7.0,1874
49,Star Trek: The Original Series - Season 2 - 20,Return to Tomorrow,9 Feb. 1968,"The Enterprise is guided to a distant, long-dead world where survivors of an extremely ancient race - existing only as disembodied energy - desiring the bodies of Kirk, Spock and astro-biologist Ann Mulhall so that they may live again.",https://www.imdb.com/title/tt0708445,7.6,1874
50,Star Trek: The Original Series - Season 2 - 21,Patterns of Force,16 Feb. 1968,"Looking for a missing Federation cultural observer, Kirk and Spock find themselves on a planet whose culture has been completely patterned after Nazi Germany.",https://www.imdb.com/title/tt0708442,7.6,1994
51,Star Trek: The Original Series - Season 2 - 22,By Any Other Name,23 Feb. 1968,Galactic alien scouts capture the Enterprise for a return voyage and a prelude to invasion. Kirk's one advantage - they're not used to their adopted human form.,https://www.imdb.com/title/tt0708422,7.7,1951
52,Star Trek: The Original Series - Season 2 - 23,The Omega Glory,1 Mar. 1968,"Responding to a distress signal, Kirk finds Captain Tracey of the U.S.S. Exeter violating the prime directive and interfering with a war between the Yangs and the Kohms to find the secret of their longevity.",https://www.imdb.com/title/tt0708474,6.2,1951
53,Star Trek: The Original Series - Season 2 - 24,The Ultimate Computer,8 Mar. 1968,"Kirk and a sub-skeleton crew are ordered to test out an advanced artificially intelligent control system - the M-5 Multitronic system, which could potentially render them all redundant.",https://www.imdb.com/title/tt0708481,8.1,1975
54,Star Trek: The Original Series - Season 2 - 25,Bread and Circuses,15 Mar. 1968,The Enterprise crew investigates the disappearance of a ship's crew on a planet that is a modern version of the Roman Empire.,https://www.imdb.com/title/tt0708421,7.2,1912
